BaseCase,RA,RASDG,Year,indicator,Country/Region
299,299,299,2020,Malnourished_Headcount,Central & Southern Asia
284.9,284.9,284.9,2021,Malnourished_Headcount,Central & Southern Asia
275.8,275.8,275.8,2022,Malnourished_Headcount,Central & Southern Asia
266.5,266.5,266.5,2023,Malnourished_Headcount,Central & Southern Asia
255.6,255.6,255.6,2024,Malnourished_Headcount,Central & Southern Asia
245.1,245.1,238.5,2025,Malnourished_Headcount,Central & Southern Asia
235,235,222.9,2026,Malnourished_Headcount,Central & Southern Asia
226.6,226.6,207.4,2027,Malnourished_Headcount,Central & Southern Asia
217.9,218,192,2028,Malnourished_Headcount,Central & Southern Asia
209.7,209.7,177.6,2029,Malnourished_Headcount,Central & Southern Asia
201.5,201.4,163.6,2030,Malnourished_Headcount,Central & Southern Asia
193.6,193.4,150.4,2031,Malnourished_Headcount,Central & Southern Asia
186,185.7,138.1,2032,Malnourished_Headcount,Central & Southern Asia
178.8,178.3,126.5,2033,Malnourished_Headcount,Central & Southern Asia
171.9,171.3,115.7,2034,Malnourished_Headcount,Central & Southern Asia
165.3,164.7,105.7,2035,Malnourished_Headcount,Central & Southern Asia
159,158.3,96.33,2036,Malnourished_Headcount,Central & Southern Asia
153,152.3,87.67,2037,Malnourished_Headcount,Central & Southern Asia
147.2,146.5,80.17,2038,Malnourished_Headcount,Central & Southern Asia
141.5,140.8,73.13,2039,Malnourished_Headcount,Central & Southern Asia
135.9,135.2,66.5,2040,Malnourished_Headcount,Central & Southern Asia
130.3,129.6,63.1,2041,Malnourished_Headcount,Central & Southern Asia
124.8,124.2,59.8,2042,Malnourished_Headcount,Central & Southern Asia
119.5,118.9,56.56,2043,Malnourished_Headcount,Central & Southern Asia
114.3,113.7,53.38,2044,Malnourished_Headcount,Central & Southern Asia
109.2,108.6,50.25,2045,Malnourished_Headcount,Central & Southern Asia
104.3,103.7,47.11,2046,Malnourished_Headcount,Central & Southern Asia
99.46,98.85,43.95,2047,Malnourished_Headcount,Central & Southern Asia
94.69,94.08,40.81,2048,Malnourished_Headcount,Central & Southern Asia
90.01,89.36,37.66,2049,Malnourished_Headcount,Central & Southern Asia
86.85,86.26,36.06,2050,Malnourished_Headcount,Central & Southern Asia
83.8,83.26,34.46,2051,Malnourished_Headcount,Central & Southern Asia
80.82,80.29,32.85,2052,Malnourished_Headcount,Central & Southern Asia
77.86,77.37,31.27,2053,Malnourished_Headcount,Central & Southern Asia
74.92,74.49,29.69,2054,Malnourished_Headcount,Central & Southern Asia
72.05,71.68,28.15,2055,Malnourished_Headcount,Central & Southern Asia
69.23,68.93,26.63,2056,Malnourished_Headcount,Central & Southern Asia
66.49,66.24,25.2,2057,Malnourished_Headcount,Central & Southern Asia
63.82,63.64,23.76,2058,Malnourished_Headcount,Central & Southern Asia
61.24,61.06,22.38,2059,Malnourished_Headcount,Central & Southern Asia
58.72,58.55,21.04,2060,Malnourished_Headcount,Central & Southern Asia
50.61,50.61,50.61,2020,Malnourished_Headcount,East & Southeast Asia
49.48,49.48,49.48,2021,Malnourished_Headcount,East & Southeast Asia
47.05,47.05,47.05,2022,Malnourished_Headcount,East & Southeast Asia
45.35,45.35,45.35,2023,Malnourished_Headcount,East & Southeast Asia
43.05,43.05,43.05,2024,Malnourished_Headcount,East & Southeast Asia
40.86,40.86,38.69,2025,Malnourished_Headcount,East & Southeast Asia
38.85,38.86,36.28,2026,Malnourished_Headcount,East & Southeast Asia
37.06,37.06,32.98,2027,Malnourished_Headcount,East & Southeast Asia
35.29,35.29,30.16,2028,Malnourished_Headcount,East & Southeast Asia
33.6,33.59,27.5,2029,Malnourished_Headcount,East & Southeast Asia
31.96,31.94,25.05,2030,Malnourished_Headcount,East & Southeast Asia
30.39,30.35,22.77,2031,Malnourished_Headcount,East & Southeast Asia
28.9,28.83,20.68,2032,Malnourished_Headcount,East & Southeast Asia
27.47,27.38,18.75,2033,Malnourished_Headcount,East & Southeast Asia
26.11,26,17,2034,Malnourished_Headcount,East & Southeast Asia
24.81,24.69,15.39,2035,Malnourished_Headcount,East & Southeast Asia
23.5,23.4,13.91,2036,Malnourished_Headcount,East & Southeast Asia
22.25,22.16,12.54,2037,Malnourished_Headcount,East & Southeast Asia
21.05,20.95,11.31,2038,Malnourished_Headcount,East & Southeast Asia
19.88,19.79,10.17,2039,Malnourished_Headcount,East & Southeast Asia
18.76,18.66,9.12,2040,Malnourished_Headcount,East & Southeast Asia
17.66,17.57,8.472,2041,Malnourished_Headcount,East & Southeast Asia
16.59,16.51,7.837,2042,Malnourished_Headcount,East & Southeast Asia
15.56,15.47,7.218,2043,Malnourished_Headcount,East & Southeast Asia
14.56,14.47,6.617,2044,Malnourished_Headcount,East & Southeast Asia
13.6,13.51,6.025,2045,Malnourished_Headcount,East & Southeast Asia
12.66,12.58,5.448,2046,Malnourished_Headcount,East & Southeast Asia
11.77,11.68,4.878,2047,Malnourished_Headcount,East & Southeast Asia
10.9,10.8,4.318,2048,Malnourished_Headcount,East & Southeast Asia
10.1,9.997,3.766,2049,Malnourished_Headcount,East & Southeast Asia
9.557,9.446,3.514,2050,Malnourished_Headcount,East & Southeast Asia
9.031,8.921,3.263,2051,Malnourished_Headcount,East & Southeast Asia
