BaseCase,RA,RASDG,Year,indicator
58.7,58.7,58.7,2020,Access_to_Safely_Managed_Sanita
59.58,59.58,59.58,2021,Access_to_Safely_Managed_Sanita
60.75,60.75,60.75,2022,Access_to_Safely_Managed_Sanita
61.01,61.01,61.01,2023,Access_to_Safely_Managed_Sanita
61.58,61.58,61.58,2024,Access_to_Safely_Managed_Sanita
62.14,62.14,62.79,2025,Access_to_Safely_Managed_Sanita
62.67,62.67,63.46,2026,Access_to_Safely_Managed_Sanita
63.2,63.2,64.25,2027,Access_to_Safely_Managed_Sanita
63.44,63.42,65.14,2028,Access_to_Safely_Managed_Sanita
63.7,63.68,66.07,2029,Access_to_Safely_Managed_Sanita
64.03,64.01,67.0,2030,Access_to_Safely_Managed_Sanita
64.36,64.33,67.92,2031,Access_to_Safely_Managed_Sanita
64.67,64.65,68.81,2032,Access_to_Safely_Managed_Sanita
64.96,65.01,69.66,2033,Access_to_Safely_Managed_Sanita
65.38,65.44,70.48,2034,Access_to_Safely_Managed_Sanita
65.81,65.87,71.27,2035,Access_to_Safely_Managed_Sanita
66.25,66.32,72.02,2036,Access_to_Safely_Managed_Sanita
66.69,66.77,72.73,2037,Access_to_Safely_Managed_Sanita
67.14,67.21,73.4,2038,Access_to_Safely_Managed_Sanita
67.6,67.68,74.04,2039,Access_to_Safely_Managed_Sanita
68.05,68.13,74.62,2040,Access_to_Safely_Managed_Sanita
68.52,68.61,75.18,2041,Access_to_Safely_Managed_Sanita
68.99,69.07,75.71,2042,Access_to_Safely_Managed_Sanita
69.46,69.55,76.23,2043,Access_to_Safely_Managed_Sanita
69.93,70.02,76.73,2044,Access_to_Safely_Managed_Sanita
70.41,70.51,77.22,2045,Access_to_Safely_Managed_Sanita
70.9,70.98,77.67,2046,Access_to_Safely_Managed_Sanita
71.38,71.48,78.14,2047,Access_to_Safely_Managed_Sanita
71.87,71.96,78.58,2048,Access_to_Safely_Managed_Sanita
72.37,72.46,79.04,2049,Access_to_Safely_Managed_Sanita
72.86,72.94,79.47,2050,Access_to_Safely_Managed_Sanita
73.36,73.45,79.93,2051,Access_to_Safely_Managed_Sanita
73.87,73.96,80.38,2052,Access_to_Safely_Managed_Sanita
74.38,74.48,80.86,2053,Access_to_Safely_Managed_Sanita
74.91,75.01,81.34,2054,Access_to_Safely_Managed_Sanita
75.45,75.55,81.84,2055,Access_to_Safely_Managed_Sanita
76.01,76.1,82.34,2056,Access_to_Safely_Managed_Sanita
76.57,76.66,82.86,2057,Access_to_Safely_Managed_Sanita
77.16,77.23,83.39,2058,Access_to_Safely_Managed_Sanita
77.76,77.81,83.94,2059,Access_to_Safely_Managed_Sanita
78.36,78.4,84.47,2060,Access_to_Safely_Managed_Sanita
77.69,77.69,77.69,2020,Access_to_Safely_Managed_Water
77.6,77.6,77.6,2021,Access_to_Safely_Managed_Water
77.68,77.68,77.68,2022,Access_to_Safely_Managed_Water
77.84,77.84,77.84,2023,Access_to_Safely_Managed_Water
77.98,77.98,77.98,2024,Access_to_Safely_Managed_Water
78.14,78.14,78.29,2025,Access_to_Safely_Managed_Water
78.27,78.27,78.51,2026,Access_to_Safely_Managed_Water
78.39,78.39,78.72,2027,Access_to_Safely_Managed_Water
78.5,78.5,78.97,2028,Access_to_Safely_Managed_Water
78.61,78.6,79.23,2029,Access_to_Safely_Managed_Water
78.75,78.74,79.53,2030,Access_to_Safely_Managed_Water
78.93,78.92,79.88,2031,Access_to_Safely_Managed_Water
79.14,79.13,80.26,2032,Access_to_Safely_Managed_Water
79.34,79.33,80.66,2033,Access_to_Safely_Managed_Water
79.54,79.52,81.08,2034,Access_to_Safely_Managed_Water
79.71,79.7,81.49,2035,Access_to_Safely_Managed_Water
79.87,79.87,81.89,2036,Access_to_Safely_Managed_Water
80.02,80.02,82.27,2037,Access_to_Safely_Managed_Water
80.17,80.18,82.67,2038,Access_to_Safely_Managed_Water
80.34,80.35,83.03,2039,Access_to_Safely_Managed_Water
80.52,80.54,83.38,2040,Access_to_Safely_Managed_Water
80.72,80.75,83.73,2041,Access_to_Safely_Managed_Water
80.94,80.98,84.09,2042,Access_to_Safely_Managed_Water
81.17,81.22,84.47,2043,Access_to_Safely_Managed_Water
81.42,81.47,84.87,2044,Access_to_Safely_Managed_Water
