BaseCase,RA,RASDG,Year,indicator
90.37,90.37,90.37,2020,Access_to_Safely_Managed_Sanita
91.41,91.41,91.41,2021,Access_to_Safely_Managed_Sanita
91.83,91.83,91.83,2022,Access_to_Safely_Managed_Sanita
91.83,91.83,91.83,2023,Access_to_Safely_Managed_Sanita
92.09,92.09,92.09,2024,Access_to_Safely_Managed_Sanita
92.42,92.42,92.81,2025,Access_to_Safely_Managed_Sanita
92.7,92.7,93.24,2026,Access_to_Safely_Managed_Sanita
92.97,92.97,93.62,2027,Access_to_Safely_Managed_Sanita
93.15,93.15,94.04,2028,Access_to_Safely_Managed_Sanita
93.34,93.34,94.45,2029,Access_to_Safely_Managed_Sanita
93.52,93.52,94.85,2030,Access_to_Safely_Managed_Sanita
93.69,93.7,95.24,2031,Access_to_Safely_Managed_Sanita
93.86,93.89,95.61,2032,Access_to_Safely_Managed_Sanita
94.04,94.07,95.95,2033,Access_to_Safely_Managed_Sanita
94.2,94.24,96.26,2034,Access_to_Safely_Managed_Sanita
94.36,94.4,96.54,2035,Access_to_Safely_Managed_Sanita
94.52,94.56,96.79,2036,Access_to_Safely_Managed_Sanita
94.67,94.71,97.01,2037,Access_to_Safely_Managed_Sanita
94.81,94.87,97.22,2038,Access_to_Safely_Managed_Sanita
94.97,95.02,97.39,2039,Access_to_Safely_Managed_Sanita
95.11,95.16,97.53,2040,Access_to_Safely_Managed_Sanita
95.25,95.3,97.66,2041,Access_to_Safely_Managed_Sanita
95.39,95.44,97.78,2042,Access_to_Safely_Managed_Sanita
95.53,95.58,97.89,2043,Access_to_Safely_Managed_Sanita
95.67,95.72,98.0,2044,Access_to_Safely_Managed_Sanita
95.81,95.87,98.09,2045,Access_to_Safely_Managed_Sanita
95.94,96.0,98.19,2046,Access_to_Safely_Managed_Sanita
96.08,96.14,98.28,2047,Access_to_Safely_Managed_Sanita
96.22,96.28,98.36,2048,Access_to_Safely_Managed_Sanita
96.35,96.42,98.45,2049,Access_to_Safely_Managed_Sanita
96.49,96.56,98.53,2050,Access_to_Safely_Managed_Sanita
96.62,96.69,98.61,2051,Access_to_Safely_Managed_Sanita
96.75,96.83,98.68,2052,Access_to_Safely_Managed_Sanita
96.89,96.97,98.76,2053,Access_to_Safely_Managed_Sanita
97.02,97.1,98.83,2054,Access_to_Safely_Managed_Sanita
97.16,97.24,98.9,2055,Access_to_Safely_Managed_Sanita
97.3,97.37,98.98,2056,Access_to_Safely_Managed_Sanita
97.43,97.51,99.05,2057,Access_to_Safely_Managed_Sanita
97.57,97.65,99.12,2058,Access_to_Safely_Managed_Sanita
97.71,97.79,99.19,2059,Access_to_Safely_Managed_Sanita
97.85,97.93,99.26,2060,Access_to_Safely_Managed_Sanita
97.96,97.96,97.96,2020,Access_to_Safely_Managed_Water
98.21,98.21,98.21,2021,Access_to_Safely_Managed_Water
98.28,98.28,98.28,2022,Access_to_Safely_Managed_Water
98.29,98.29,98.29,2023,Access_to_Safely_Managed_Water
98.34,98.34,98.34,2024,Access_to_Safely_Managed_Water
98.4,98.4,98.52,2025,Access_to_Safely_Managed_Water
98.45,98.45,98.63,2026,Access_to_Safely_Managed_Water
98.49,98.49,98.71,2027,Access_to_Safely_Managed_Water
98.52,98.52,98.79,2028,Access_to_Safely_Managed_Water
98.54,98.54,98.87,2029,Access_to_Safely_Managed_Water
98.57,98.57,98.95,2030,Access_to_Safely_Managed_Water
98.59,98.59,99.02,2031,Access_to_Safely_Managed_Water
98.61,98.62,99.08,2032,Access_to_Safely_Managed_Water
98.64,98.65,99.14,2033,Access_to_Safely_Managed_Water
98.67,98.67,99.2,2034,Access_to_Safely_Managed_Water
98.69,98.7,99.25,2035,Access_to_Safely_Managed_Water
98.72,98.72,99.29,2036,Access_to_Safely_Managed_Water
98.74,98.75,99.33,2037,Access_to_Safely_Managed_Water
98.77,98.77,99.37,2038,Access_to_Safely_Managed_Water
98.79,98.8,99.4,2039,Access_to_Safely_Managed_Water
98.82,98.82,99.43,2040,Access_to_Safely_Managed_Water
98.84,98.85,99.45,2041,Access_to_Safely_Managed_Water
98.87,98.87,99.48,2042,Access_to_Safely_Managed_Water
98.89,98.91,99.5,2043,Access_to_Safely_Managed_Water
98.93,98.94,99.52,2044,Access_to_Safely_Managed_Water
98.96,98.97,99.54,2045,Access_to_Safely_Managed_Water
98.99,98.99,99.57,2046,Access_to_Safely_Managed_Water
99.02,99.02,99.59,2047,Access_to_Safely_Managed_Water
99.04,99.05,99.61,2048,Access_to_Safely_Managed_Water
99.08,99.08,99.63,2049,Access_to_Safely_Managed_Water
99.11,99.12,99.65,2050,Access_to_Safely_Managed_Water
99.14,99.15,99.67,2051,Access_to_Safely_Managed_Water
99.17,99.18,99.69,2052,Access_to_Safely_Managed_Water
99.21,99.22,99.71,2053,Access_to_Safely_Managed_Water
99.25,99.26,99.73,2054,Access_to_Safely_Managed_Water
99.28,99.29,99.75,2055,Access_to_Safely_Managed_Water
99.32,99.33,99.77,2056,Access_to_Safely_Managed_Water
99.36,99.38,99.78,2057,Access_to_Safely_Managed_Water
99.41,99.42,99.8,2058,Access_to_Safely_Managed_Water
99.45,99.47,99.82,2059,Access_to_Safely_Managed_Water
99.5,99.51,99.84,2060,Access_to_Safely_Managed_Water
2928.0,2928.0,2928.0,2020,Agricultural_Production
2974.0,2974.0,2974.0,2021,Agricultural_Production
2998.0,2998.0,2998.0,2022,Agricultural_Production
3020.0,3020.0,3020.0,2023,Agricultural_Production
3040.0,3040.0,3040.0,2024,Agricultural_Production
3063.0,3063.0,3094.0,2025,Agricultural_Production
3082.0,3082.0,3123.0,2026,Agricultural_Production
3095.0,3095.0,3141.0,2027,Agricultural_Production
3104.0,3104.0,3157.0,2028,Agricultural_Production
3109.0,3109.0,3169.0,2029,Agricultural_Production
3114.0,3114.0,3176.0,2030,Agricultural_Production
3117.0,3117.0,3177.0,2031,Agricultural_Production
3119.0,3118.0,3172.0,2032,Agricultural_Production
3120.0,3118.0,3162.0,2033,Agricultural_Production
3120.0,3118.0,3148.0,2034,Agricultural_Production
3121.0,3118.0,3131.0,2035,Agricultural_Production
3120.0,3117.0,3111.0,2036,Agricultural_Production
3119.0,3115.0,3088.0,2037,Agricultural_Production
3118.0,3114.0,3062.0,2038,Agricultural_Production
3117.0,3113.0,3040.0,2039,Agricultural_Production
3115.0,3111.0,2987.0,2040,Agricultural_Production
3113.0,3108.0,2935.0,2041,Agricultural_Production
3110.0,3104.0,2887.0,2042,Agricultural_Production
3105.0,3099.0,2842.0,2043,Agricultural_Production
3100.0,3094.0,2798.0,2044,Agricultural_Production
3094.0,3088.0,2756.0,2045,Agricultural_Production
3089.0,3082.0,2717.0,2046,Agricultural_Production
3085.0,3078.0,2680.0,2047,Agricultural_Production
3080.0,3072.0,2646.0,2048,Agricultural_Production
3076.0,3067.0,2615.0,2049,Agricultural_Production
3071.0,3062.0,2585.0,2050,Agricultural_Production
3067.0,3056.0,2558.0,2051,Agricultural_Production
3063.0,3050.0,2531.0,2052,Agricultural_Production
3058.0,3044.0,2507.0,2053,Agricultural_Production
3053.0,3038.0,2484.0,2054,Agricultural_Production
3048.0,3032.0,2461.0,2055,Agricultural_Production
3043.0,3025.0,2451.0,2056,Agricultural_Production
3039.0,3020.0,2438.0,2057,Agricultural_Production
3037.0,3015.0,2425.0,2058,Agricultural_Production
3036.0,3012.0,2414.0,2059,Agricultural_Production
3036.0,3008.0,2404.0,2060,Agricultural_Production
12.44,12.44,12.44,2020,Average_Education_Years
12.47,12.47,12.47,2021,Average_Education_Years
12.51,12.51,12.51,2022,Average_Education_Years
12.54,12.54,12.54,2023,Average_Education_Years
12.57,12.57,12.57,2024,Average_Education_Years
12.6,12.6,12.6,2025,Average_Education_Years
12.64,12.64,12.64,2026,Average_Education_Years
12.67,12.67,12.68,2027,Average_Education_Years
12.7,12.7,12.71,2028,Average_Education_Years
12.74,12.74,12.75,2029,Average_Education_Years
12.77,12.77,12.79,2030,Average_Education_Years
12.8,12.8,12.83,2031,Average_Education_Years
12.84,12.84,12.87,2032,Average_Education_Years
12.87,12.87,12.91,2033,Average_Education_Years
12.9,12.9,12.95,2034,Average_Education_Years
12.93,12.93,13.0,2035,Average_Education_Years
12.97,12.97,13.04,2036,Average_Education_Years
13.0,13.0,13.08,2037,Average_Education_Years
13.04,13.04,13.13,2038,Average_Education_Years
13.07,13.07,13.17,2039,Average_Education_Years
13.1,13.1,13.22,2040,Average_Education_Years
13.13,13.13,13.26,2041,Average_Education_Years
13.16,13.16,13.3,2042,Average_Education_Years
13.18,13.18,13.34,2043,Average_Education_Years
13.21,13.21,13.38,2044,Average_Education_Years
13.23,13.23,13.41,2045,Average_Education_Years
13.26,13.26,13.45,2046,Average_Education_Years
13.28,13.28,13.49,2047,Average_Education_Years
13.3,13.3,13.52,2048,Average_Education_Years
13.32,13.33,13.56,2049,Average_Education_Years
13.35,13.35,13.6,2050,Average_Education_Years
13.37,13.37,13.63,2051,Average_Education_Years
13.39,13.39,13.67,2052,Average_Education_Years
13.41,13.41,13.7,2053,Average_Education_Years
13.43,13.43,13.74,2054,Average_Education_Years
13.45,13.45,13.77,2055,Average_Education_Years
13.47,13.47,13.81,2056,Average_Education_Years
13.49,13.49,13.84,2057,Average_Education_Years
13.51,13.51,13.87,2058,Average_Education_Years
13.53,13.53,13.91,2059,Average_Education_Years
13.55,13.55,13.94,2060,Average_Education_Years
3.139,3.139,3.139,2020,Carbon_Emissions_from_Fossil
3.097,3.097,3.097,2021,Carbon_Emissions_from_Fossil
3.114,3.114,3.114,2022,Carbon_Emissions_from_Fossil
3.168,3.168,3.168,2023,Carbon_Emissions_from_Fossil
3.176,3.176,3.176,2024,Carbon_Emissions_from_Fossil
3.176,3.176,3.176,2025,Carbon_Emissions_from_Fossil
3.183,3.162,3.162,2026,Carbon_Emissions_from_Fossil
3.179,3.123,3.123,2027,Carbon_Emissions_from_Fossil
3.159,3.044,3.042,2028,Carbon_Emissions_from_Fossil
3.131,2.934,2.931,2029,Carbon_Emissions_from_Fossil
3.1,2.801,2.802,2030,Carbon_Emissions_from_Fossil
3.069,2.664,2.669,2031,Carbon_Emissions_from_Fossil
3.037,2.528,2.54,2032,Carbon_Emissions_from_Fossil
3.006,2.391,2.411,2033,Carbon_Emissions_from_Fossil
