BaseCase,RA,RASDG,Year,indicator
67.54,67.54,67.54,2020,Access_to_Safely_Managed_Sanita
69.19,69.19,69.19,2021,Access_to_Safely_Managed_Sanita
70.62,70.62,70.62,2022,Access_to_Safely_Managed_Sanita
71.78,71.78,71.78,2023,Access_to_Safely_Managed_Sanita
73.11,73.11,73.11,2024,Access_to_Safely_Managed_Sanita
74.36,74.36,74.76,2025,Access_to_Safely_Managed_Sanita
75.5,75.5,75.99,2026,Access_to_Safely_Managed_Sanita
76.71,76.71,77.49,2027,Access_to_Safely_Managed_Sanita
77.71,77.74,79.02,2028,Access_to_Safely_Managed_Sanita
78.7,78.75,80.51,2029,Access_to_Safely_Managed_Sanita
79.69,79.75,81.94,2030,Access_to_Safely_Managed_Sanita
80.65,80.73,83.3,2031,Access_to_Safely_Managed_Sanita
81.58,81.67,84.41,2032,Access_to_Safely_Managed_Sanita
82.12,82.19,85.25,2033,Access_to_Safely_Managed_Sanita
82.58,82.67,85.98,2034,Access_to_Safely_Managed_Sanita
83.01,83.11,86.67,2035,Access_to_Safely_Managed_Sanita
83.41,83.51,87.28,2036,Access_to_Safely_Managed_Sanita
83.74,83.85,87.83,2037,Access_to_Safely_Managed_Sanita
84.04,84.16,88.38,2038,Access_to_Safely_Managed_Sanita
84.3,84.44,88.85,2039,Access_to_Safely_Managed_Sanita
84.67,84.75,89.27,2040,Access_to_Safely_Managed_Sanita
85.04,85.12,89.7,2041,Access_to_Safely_Managed_Sanita
85.41,85.49,90.1,2042,Access_to_Safely_Managed_Sanita
85.78,85.85,90.48,2043,Access_to_Safely_Managed_Sanita
86.14,86.21,90.86,2044,Access_to_Safely_Managed_Sanita
86.49,86.56,91.21,2045,Access_to_Safely_Managed_Sanita
86.83,86.91,91.54,2046,Access_to_Safely_Managed_Sanita
87.17,87.25,91.88,2047,Access_to_Safely_Managed_Sanita
87.5,87.58,92.2,2048,Access_to_Safely_Managed_Sanita
87.83,87.91,92.53,2049,Access_to_Safely_Managed_Sanita
88.14,88.24,92.84,2050,Access_to_Safely_Managed_Sanita
88.46,88.56,93.16,2051,Access_to_Safely_Managed_Sanita
88.78,88.88,93.46,2052,Access_to_Safely_Managed_Sanita
89.09,89.19,93.77,2053,Access_to_Safely_Managed_Sanita
89.41,89.51,94.07,2054,Access_to_Safely_Managed_Sanita
