BaseCase,RA,RASDG,Year,indicator
47.59,47.59,47.59,2020,Access_to_Safely_Managed_Sanita
48.53,48.53,48.53,2021,Access_to_Safely_Managed_Sanita
48.58,48.58,48.58,2022,Access_to_Safely_Managed_Sanita
48.54,48.54,48.54,2023,Access_to_Safely_Managed_Sanita
48.57,48.57,48.57,2024,Access_to_Safely_Managed_Sanita
48.83,48.83,49.33,2025,Access_to_Safely_Managed_Sanita
49.16,49.16,49.88,2026,Access_to_Safely_Managed_Sanita
49.46,49.41,50.17,2027,Access_to_Safely_Managed_Sanita
49.75,49.72,50.67,2028,Access_to_Safely_Managed_Sanita
50.14,50.05,51.27,2029,Access_to_Safely_Managed_Sanita
50.52,50.4,51.93,2030,Access_to_Safely_Managed_Sanita
50.86,50.7,52.64,2031,Access_to_Safely_Managed_Sanita
51.16,51.0,53.41,2032,Access_to_Safely_Managed_Sanita
51.46,51.3,54.24,2033,Access_to_Safely_Managed_Sanita
51.75,51.66,55.13,2034,Access_to_Safely_Managed_Sanita
52.09,52.06,56.07,2035,Access_to_Safely_Managed_Sanita
52.51,52.49,57.04,2036,Access_to_Safely_Managed_Sanita
52.95,52.94,58.05,2037,Access_to_Safely_Managed_Sanita
53.41,53.42,59.07,2038,Access_to_Safely_Managed_Sanita
53.88,53.91,60.07,2039,Access_to_Safely_Managed_Sanita
54.38,54.42,61.02,2040,Access_to_Safely_Managed_Sanita
54.89,54.94,61.92,2041,Access_to_Safely_Managed_Sanita
55.41,55.48,62.79,2042,Access_to_Safely_Managed_Sanita
55.96,56.03,63.64,2043,Access_to_Safely_Managed_Sanita
56.51,56.6,64.47,2044,Access_to_Safely_Managed_Sanita
57.09,57.18,65.29,2045,Access_to_Safely_Managed_Sanita
57.68,57.78,66.09,2046,Access_to_Safely_Managed_Sanita
58.28,58.39,66.88,2047,Access_to_Safely_Managed_Sanita
58.9,59.01,67.67,2048,Access_to_Safely_Managed_Sanita
59.51,59.64,68.47,2049,Access_to_Safely_Managed_Sanita
60.14,60.27,69.27,2050,Access_to_Safely_Managed_Sanita
60.78,60.91,70.07,2051,Access_to_Safely_Managed_Sanita
61.42,61.56,70.87,2052,Access_to_Safely_Managed_Sanita
62.07,62.21,71.67,2053,Access_to_Safely_Managed_Sanita
62.74,62.88,72.47,2054,Access_to_Safely_Managed_Sanita
63.41,63.54,73.27,2055,Access_to_Safely_Managed_Sanita
64.09,64.21,74.08,2056,Access_to_Safely_Managed_Sanita
64.78,64.89,74.9,2057,Access_to_Safely_Managed_Sanita
