BaseCase,RA,RASDG,Year,indicator
55.87,55.87,55.87,2020,Access_to_Safely_Managed_Sanita
56.88,56.88,56.88,2021,Access_to_Safely_Managed_Sanita
57.31,57.31,57.31,2022,Access_to_Safely_Managed_Sanita
57.58,57.58,57.58,2023,Access_to_Safely_Managed_Sanita
57.98,57.98,57.98,2024,Access_to_Safely_Managed_Sanita
58.45,58.45,58.87,2025,Access_to_Safely_Managed_Sanita
58.91,58.91,59.47,2026,Access_to_Safely_Managed_Sanita
59.38,59.37,60.07,2027,Access_to_Safely_Managed_Sanita
59.76,59.76,60.75,2028,Access_to_Safely_Managed_Sanita
60.16,60.15,61.45,2029,Access_to_Safely_Managed_Sanita
60.56,60.54,62.17,2030,Access_to_Safely_Managed_Sanita
60.95,60.92,62.88,2031,Access_to_Safely_Managed_Sanita
61.32,61.3,63.54,2032,Access_to_Safely_Managed_Sanita
61.58,61.57,64.16,2033,Access_to_Safely_Managed_Sanita
61.82,61.83,64.76,2034,Access_to_Safely_Managed_Sanita
62.07,62.11,65.37,2035,Access_to_Safely_Managed_Sanita
62.34,62.38,65.96,2036,Access_to_Safely_Managed_Sanita
62.59,62.64,66.55,2037,Access_to_Safely_Managed_Sanita
62.84,62.91,67.14,2038,Access_to_Safely_Managed_Sanita
63.1,63.17,67.69,2039,Access_to_Safely_Managed_Sanita
63.39,63.45,68.21,2040,Access_to_Safely_Managed_Sanita
63.69,63.76,68.72,2041,Access_to_Safely_Managed_Sanita
63.99,64.08,69.21,2042,Access_to_Safely_Managed_Sanita
64.3,64.4,69.7,2043,Access_to_Safely_Managed_Sanita
64.63,64.74,70.18,2044,Access_to_Safely_Managed_Sanita
64.95,65.07,70.64,2045,Access_to_Safely_Managed_Sanita
65.29,65.42,71.09,2046,Access_to_Safely_Managed_Sanita
65.63,65.77,71.55,2047,Access_to_Safely_Managed_Sanita
65.98,66.13,72.0,2048,Access_to_Safely_Managed_Sanita
66.32,66.5,72.46,2049,Access_to_Safely_Managed_Sanita
66.68,66.87,72.92,2050,Access_to_Safely_Managed_Sanita
67.05,67.24,73.39,2051,Access_to_Safely_Managed_Sanita
67.42,67.62,73.86,2052,Access_to_Safely_Managed_Sanita
67.81,68.02,74.35,2053,Access_to_Safely_Managed_Sanita
68.21,68.42,74.84,2054,Access_to_Safely_Managed_Sanita
68.62,68.83,75.34,2055,Access_to_Safely_Managed_Sanita
69.05,69.26,75.86,2056,Access_to_Safely_Managed_Sanita
69.49,69.7,76.39,2057,Access_to_Safely_Managed_Sanita
69.95,70.15,76.93,2058,Access_to_Safely_Managed_Sanita
70.41,70.62,77.49,2059,Access_to_Safely_Managed_Sanita
70.89,71.09,78.06,2060,Access_to_Safely_Managed_Sanita
68.6,68.6,68.6,2020,Access_to_Safely_Managed_Water
69.43,69.43,69.43,2021,Access_to_Safely_Managed_Water
69.93,69.93,69.93,2022,Access_to_Safely_Managed_Water
70.41,70.41,70.41,2023,Access_to_Safely_Managed_Water
70.85,70.85,70.85,2024,Access_to_Safely_Managed_Water
71.24,71.23,71.5,2025,Access_to_Safely_Managed_Water
71.64,71.63,72.09,2026,Access_to_Safely_Managed_Water
72.03,72.02,72.65,2027,Access_to_Safely_Managed_Water
72.39,72.38,73.23,2028,Access_to_Safely_Managed_Water
72.76,72.74,73.81,2029,Access_to_Safely_Managed_Water
73.12,73.11,74.4,2030,Access_to_Safely_Managed_Water
73.49,73.48,75.0,2031,Access_to_Safely_Managed_Water
73.84,73.85,75.6,2032,Access_to_Safely_Managed_Water
74.18,74.2,76.17,2033,Access_to_Safely_Managed_Water
74.47,74.51,76.72,2034,Access_to_Safely_Managed_Water
74.75,74.82,77.26,2035,Access_to_Safely_Managed_Water
75.03,75.11,77.79,2036,Access_to_Safely_Managed_Water
75.32,75.41,78.32,2037,Access_to_Safely_Managed_Water
75.61,75.7,78.83,2038,Access_to_Safely_Managed_Water
75.9,76.0,79.29,2039,Access_to_Safely_Managed_Water
76.2,76.3,79.74,2040,Access_to_Safely_Managed_Water
76.51,76.62,80.18,2041,Access_to_Safely_Managed_Water
76.83,76.95,80.63,2042,Access_to_Safely_Managed_Water
77.16,77.29,81.08,2043,Access_to_Safely_Managed_Water
77.5,77.65,81.52,2044,Access_to_Safely_Managed_Water
77.84,78.0,81.96,2045,Access_to_Safely_Managed_Water
78.18,78.36,82.4,2046,Access_to_Safely_Managed_Water
78.54,78.73,82.83,2047,Access_to_Safely_Managed_Water
78.89,79.1,83.27,2048,Access_to_Safely_Managed_Water
79.25,79.48,83.7,2049,Access_to_Safely_Managed_Water
79.62,79.86,84.14,2050,Access_to_Safely_Managed_Water
80.0,80.25,84.58,2051,Access_to_Safely_Managed_Water
80.38,80.64,85.02,2052,Access_to_Safely_Managed_Water
80.78,81.04,85.47,2053,Access_to_Safely_Managed_Water
81.19,81.45,85.92,2054,Access_to_Safely_Managed_Water
81.61,81.87,86.37,2055,Access_to_Safely_Managed_Water
82.04,82.29,86.85,2056,Access_to_Safely_Managed_Water
82.47,82.73,87.33,2057,Access_to_Safely_Managed_Water
82.92,83.17,87.82,2058,Access_to_Safely_Managed_Water
83.38,83.64,88.31,2059,Access_to_Safely_Managed_Water
83.86,84.12,88.77,2060,Access_to_Safely_Managed_Water
11977.0,11977.0,11977.0,2020,Agricultural_Production
12293.0,12293.0,12293.0,2021,Agricultural_Production
12581.0,12581.0,12581.0,2022,Agricultural_Production
12832.0,12832.0,12832.0,2023,Agricultural_Production
13051.0,13051.0,13051.0,2024,Agricultural_Production
13276.0,13276.0,13428.0,2025,Agricultural_Production
13485.0,13485.0,13728.0,2026,Agricultural_Production
13670.0,13670.0,13972.0,2027,Agricultural_Production
13832.0,13832.0,14197.0,2028,Agricultural_Production
13981.0,13979.0,14395.0,2029,Agricultural_Production
14118.0,14115.0,14567.0,2030,Agricultural_Production
14246.0,14241.0,14719.0,2031,Agricultural_Production
14366.0,14358.0,14850.0,2032,Agricultural_Production
14477.0,14468.0,14961.0,2033,Agricultural_Production
14583.0,14574.0,15053.0,2034,Agricultural_Production
14685.0,14675.0,15129.0,2035,Agricultural_Production
14782.0,14773.0,15189.0,2036,Agricultural_Production
14875.0,14867.0,15236.0,2037,Agricultural_Production
14968.0,14961.0,15268.0,2038,Agricultural_Production
15059.0,15054.0,15308.0,2039,Agricultural_Production
15149.0,15147.0,15239.0,2040,Agricultural_Production
15239.0,15239.0,15176.0,2041,Agricultural_Production
15328.0,15331.0,15133.0,2042,Agricultural_Production
15415.0,15422.0,15102.0,2043,Agricultural_Production
15500.0,15511.0,15086.0,2044,Agricultural_Production
15584.0,15599.0,15082.0,2045,Agricultural_Production
15663.0,15682.0,15089.0,2046,Agricultural_Production
15743.0,15767.0,15105.0,2047,Agricultural_Production
15824.0,15852.0,15132.0,2048,Agricultural_Production
15905.0,15937.0,15165.0,2049,Agricultural_Production
15984.0,16022.0,15206.0,2050,Agricultural_Production
16063.0,16106.0,15254.0,2051,Agricultural_Production
16143.0,16189.0,15308.0,2052,Agricultural_Production
16221.0,16272.0,15365.0,2053,Agricultural_Production
16299.0,16354.0,15426.0,2054,Agricultural_Production
16375.0,16434.0,15480.0,2055,Agricultural_Production
16451.0,16512.0,15573.0,2056,Agricultural_Production
16528.0,16588.0,15659.0,2057,Agricultural_Production
16607.0,16666.0,15734.0,2058,Agricultural_Production
16688.0,16746.0,15800.0,2059,Agricultural_Production
16772.0,16828.0,15868.0,2060,Agricultural_Production
8.588,8.588,8.588,2020,Average_Education_Years
8.631,8.631,8.631,2021,Average_Education_Years
8.68,8.68,8.68,2022,Average_Education_Years
8.727,8.727,8.727,2023,Average_Education_Years
8.773,8.773,8.773,2024,Average_Education_Years
8.821,8.821,8.822,2025,Average_Education_Years
8.868,8.868,8.872,2026,Average_Education_Years
8.915,8.914,8.923,2027,Average_Education_Years
8.96,8.96,8.973,2028,Average_Education_Years
9.006,9.005,9.025,2029,Average_Education_Years
9.051,9.051,9.078,2030,Average_Education_Years
9.097,9.096,9.131,2031,Average_Education_Years
9.143,9.142,9.187,2032,Average_Education_Years
9.189,9.188,9.243,2033,Average_Education_Years
9.235,9.234,9.301,2034,Average_Education_Years
9.282,9.281,9.361,2035,Average_Education_Years
9.33,9.329,9.422,2036,Average_Education_Years
9.378,9.377,9.484,2037,Average_Education_Years
9.425,9.424,9.546,2038,Average_Education_Years
9.472,9.471,9.607,2039,Average_Education_Years
9.517,9.516,9.668,2040,Average_Education_Years
9.561,9.56,9.728,2041,Average_Education_Years
9.603,9.603,9.786,2042,Average_Education_Years
9.645,9.645,9.845,2043,Average_Education_Years
9.686,9.687,9.903,2044,Average_Education_Years
9.727,9.728,9.961,2045,Average_Education_Years
9.768,9.769,10.02,2046,Average_Education_Years
9.808,9.81,10.08,2047,Average_Education_Years
9.848,9.85,10.14,2048,Average_Education_Years
9.887,9.89,10.19,2049,Average_Education_Years
9.926,9.93,10.25,2050,Average_Education_Years
9.965,9.969,10.31,2051,Average_Education_Years
10.0,10.01,10.36,2052,Average_Education_Years
10.04,10.05,10.42,2053,Average_Education_Years
10.08,10.09,10.48,2054,Average_Education_Years
10.12,10.13,10.54,2055,Average_Education_Years
10.16,10.17,10.59,2056,Average_Education_Years
10.2,10.21,10.65,2057,Average_Education_Years
10.24,10.24,10.71,2058,Average_Education_Years
10.28,10.28,10.77,2059,Average_Education_Years
10.32,10.32,10.82,2060,Average_Education_Years
9.085,9.085,9.085,2020,Carbon_Emissions_from_Fossil
9.141,9.141,9.141,2021,Carbon_Emissions_from_Fossil
9.289,9.289,9.289,2022,Carbon_Emissions_from_Fossil
9.472,9.472,9.472,2023,Carbon_Emissions_from_Fossil
9.604,9.604,9.604,2024,Carbon_Emissions_from_Fossil
9.728,9.728,9.728,2025,Carbon_Emissions_from_Fossil
9.86,9.86,9.86,2026,Carbon_Emissions_from_Fossil
9.963,9.888,9.886,2027,Carbon_Emissions_from_Fossil
10.04,9.785,9.778,2028,Carbon_Emissions_from_Fossil
10.09,9.567,9.563,2029,Carbon_Emissions_from_Fossil
10.13,9.277,9.283,2030,Carbon_Emissions_from_Fossil
10.16,8.952,8.974,2031,Carbon_Emissions_from_Fossil
10.2,8.622,8.664,2032,Carbon_Emissions_from_Fossil
10.23,8.283,8.347,2033,Carbon_Emissions_from_Fossil
10.27,7.949,8.035,2034,Carbon_Emissions_from_Fossil
10.32,7.625,7.731,2035,Carbon_Emissions_from_Fossil
10.4,7.305,7.425,2036,Carbon_Emissions_from_Fossil
10.48,6.98,7.11,2037,Carbon_Emissions_from_Fossil
10.53,6.643,6.774,2038,Carbon_Emissions_from_Fossil
10.54,6.27,6.404,2039,Carbon_Emissions_from_Fossil
10.53,5.857,5.987,2040,Carbon_Emissions_from_Fossil
10.5,5.411,5.537,2041,Carbon_Emissions_from_Fossil
10.46,4.966,5.086,2042,Carbon_Emissions_from_Fossil
10.42,4.536,4.649,2043,Carbon_Emissions_from_Fossil
10.37,4.14,4.244,2044,Carbon_Emissions_from_Fossil
10.32,3.782,3.878,2045,Carbon_Emissions_from_Fossil
10.28,3.449,3.54,2046,Carbon_Emissions_from_Fossil
10.23,3.141,3.229,2047,Carbon_Emissions_from_Fossil
10.15,2.859,2.94,2048,Carbon_Emissions_from_Fossil
10.05,2.614,2.694,2049,Carbon_Emissions_from_Fossil
9.973,2.386,2.46,2050,Carbon_Emissions_from_Fossil
9.878,2.172,2.245,2051,Carbon_Emissions_from_Fossil
9.758,1.971,2.038,2052,Carbon_Emissions_from_Fossil
9.619,1.781,1.845,2053,Carbon_Emissions_from_Fossil
9.463,1.6,1.658,2054,Carbon_Emissions_from_Fossil
9.295,1.427,1.48,2055,Carbon_Emissions_from_Fossil
9.119,1.261,1.307,2056,Carbon_Emissions_from_Fossil
8.941,1.105,1.147,2057,Carbon_Emissions_from_Fossil
