BaseCase,RA,RASDG,Year,indicator
46.62,46.62,46.62,2020,Access_to_Safely_Managed_Sanita
48.25,48.25,48.25,2021,Access_to_Safely_Managed_Sanita
48.81,48.81,48.81,2022,Access_to_Safely_Managed_Sanita
49.06,49.06,49.06,2023,Access_to_Safely_Managed_Sanita
49.58,49.58,49.58,2024,Access_to_Safely_Managed_Sanita
50.32,50.32,50.89,2025,Access_to_Safely_Managed_Sanita
51.06,51.06,51.93,2026,Access_to_Safely_Managed_Sanita
51.78,51.79,52.92,2027,Access_to_Safely_Managed_Sanita
52.43,52.44,53.95,2028,Access_to_Safely_Managed_Sanita
53.07,53.09,55.05,2029,Access_to_Safely_Managed_Sanita
53.71,53.73,56.19,2030,Access_to_Safely_Managed_Sanita
54.34,54.36,57.37,2031,Access_to_Safely_Managed_Sanita
54.98,55.02,58.59,2032,Access_to_Safely_Managed_Sanita
55.63,55.68,59.85,2033,Access_to_Safely_Managed_Sanita
56.29,56.36,61.13,2034,Access_to_Safely_Managed_Sanita
56.96,57.05,62.42,2035,Access_to_Safely_Managed_Sanita
57.64,57.75,63.7,2036,Access_to_Safely_Managed_Sanita
58.33,58.46,65.0,2037,Access_to_Safely_Managed_Sanita
59.03,59.18,66.27,2038,Access_to_Safely_Managed_Sanita
59.73,59.89,67.45,2039,Access_to_Safely_Managed_Sanita
60.44,60.61,68.55,2040,Access_to_Safely_Managed_Sanita
61.13,61.33,69.6,2041,Access_to_Safely_Managed_Sanita
61.83,62.05,70.61,2042,Access_to_Safely_Managed_Sanita
62.53,62.76,71.57,2043,Access_to_Safely_Managed_Sanita
63.24,63.49,72.5,2044,Access_to_Safely_Managed_Sanita
63.95,64.22,73.4,2045,Access_to_Safely_Managed_Sanita
64.67,64.96,74.28,2046,Access_to_Safely_Managed_Sanita
65.4,65.71,75.15,2047,Access_to_Safely_Managed_Sanita
66.12,66.46,76.01,2048,Access_to_Safely_Managed_Sanita
66.84,67.22,76.86,2049,Access_to_Safely_Managed_Sanita
67.57,67.95,77.67,2050,Access_to_Safely_Managed_Sanita
68.31,68.69,78.49,2051,Access_to_Safely_Managed_Sanita
69.05,69.4,79.28,2052,Access_to_Safely_Managed_Sanita
69.8,70.14,80.1,2053,Access_to_Safely_Managed_Sanita
70.55,70.85,80.89,2054,Access_to_Safely_Managed_Sanita
71.29,71.6,81.72,2055,Access_to_Safely_Managed_Sanita
72.04,72.33,82.51,2056,Access_to_Safely_Managed_Sanita
72.81,73.11,83.34,2057,Access_to_Safely_Managed_Sanita
73.59,73.86,84.13,2058,Access_to_Safely_Managed_Sanita
74.39,74.68,84.97,2059,Access_to_Safely_Managed_Sanita
75.2,75.44,85.75,2060,Access_to_Safely_Managed_Sanita
70.69,70.69,70.69,2020,Access_to_Safely_Managed_Water
72.12,72.12,72.12,2021,Access_to_Safely_Managed_Water
72.7,72.7,72.7,2022,Access_to_Safely_Managed_Water
73.02,73.02,73.02,2023,Access_to_Safely_Managed_Water
73.43,73.43,73.43,2024,Access_to_Safely_Managed_Water
73.93,73.93,74.24,2025,Access_to_Safely_Managed_Water
74.48,74.48,74.98,2026,Access_to_Safely_Managed_Water
75.08,75.09,75.77,2027,Access_to_Safely_Managed_Water
75.62,75.63,76.53,2028,Access_to_Safely_Managed_Water
76.15,76.16,77.32,2029,Access_to_Safely_Managed_Water
76.69,76.71,78.13,2030,Access_to_Safely_Managed_Water
77.23,77.26,78.94,2031,Access_to_Safely_Managed_Water
77.77,77.82,79.77,2032,Access_to_Safely_Managed_Water
78.3,78.37,80.6,2033,Access_to_Safely_Managed_Water
78.83,78.92,81.42,2034,Access_to_Safely_Managed_Water
79.35,79.46,82.23,2035,Access_to_Safely_Managed_Water
79.85,79.98,83.02,2036,Access_to_Safely_Managed_Water
80.35,80.5,83.79,2037,Access_to_Safely_Managed_Water
80.85,81.01,84.53,2038,Access_to_Safely_Managed_Water
81.34,81.52,85.21,2039,Access_to_Safely_Managed_Water
81.84,82.03,85.85,2040,Access_to_Safely_Managed_Water
82.34,82.55,86.47,2041,Access_to_Safely_Managed_Water
82.84,83.06,87.07,2042,Access_to_Safely_Managed_Water
83.34,83.58,87.65,2043,Access_to_Safely_Managed_Water
83.85,84.1,88.22,2044,Access_to_Safely_Managed_Water
84.35,84.62,88.77,2045,Access_to_Safely_Managed_Water
84.85,85.14,89.3,2046,Access_to_Safely_Managed_Water
85.35,85.66,89.82,2047,Access_to_Safely_Managed_Water
85.86,86.17,90.33,2048,Access_to_Safely_Managed_Water
86.37,86.69,90.83,2049,Access_to_Safely_Managed_Water
86.88,87.21,91.32,2050,Access_to_Safely_Managed_Water
87.4,87.73,91.79,2051,Access_to_Safely_Managed_Water
87.91,88.24,92.26,2052,Access_to_Safely_Managed_Water
88.42,88.76,92.72,2053,Access_to_Safely_Managed_Water
88.95,89.27,93.16,2054,Access_to_Safely_Managed_Water
89.48,89.79,93.61,2055,Access_to_Safely_Managed_Water
90.01,90.29,94.03,2056,Access_to_Safely_Managed_Water
90.54,90.81,94.46,2057,Access_to_Safely_Managed_Water
91.06,91.3,94.86,2058,Access_to_Safely_Managed_Water
91.57,91.81,95.27,2059,Access_to_Safely_Managed_Water
92.09,92.3,95.66,2060,Access_to_Safely_Managed_Water
2121.0,2121.0,2121.0,2020,Agricultural_Production
2191.0,2191.0,2191.0,2021,Agricultural_Production
2278.0,2278.0,2278.0,2022,Agricultural_Production
2350.0,2350.0,2350.0,2023,Agricultural_Production
2407.0,2407.0,2407.0,2024,Agricultural_Production
2462.0,2462.0,2493.0,2025,Agricultural_Production
2517.0,2517.0,2571.0,2026,Agricultural_Production
2567.0,2567.0,2636.0,2027,Agricultural_Production
2611.0,2610.0,2693.0,2028,Agricultural_Production
2648.0,2647.0,2740.0,2029,Agricultural_Production
2683.0,2681.0,2781.0,2030,Agricultural_Production
2715.0,2712.0,2819.0,2031,Agricultural_Production
2743.0,2740.0,2853.0,2032,Agricultural_Production
2770.0,2767.0,2883.0,2033,Agricultural_Production
2794.0,2792.0,2907.0,2034,Agricultural_Production
2818.0,2816.0,2926.0,2035,Agricultural_Production
2841.0,2839.0,2940.0,2036,Agricultural_Production
2862.0,2862.0,2950.0,2037,Agricultural_Production
2884.0,2885.0,2956.0,2038,Agricultural_Production
2904.0,2907.0,2959.0,2039,Agricultural_Production
2924.0,2928.0,2928.0,2040,Agricultural_Production
2943.0,2949.0,2903.0,2041,Agricultural_Production
2963.0,2971.0,2884.0,2042,Agricultural_Production
2982.0,2992.0,2868.0,2043,Agricultural_Production
3000.0,3013.0,2857.0,2044,Agricultural_Production
3019.0,3034.0,2848.0,2045,Agricultural_Production
3037.0,3054.0,2843.0,2046,Agricultural_Production
3056.0,3075.0,2839.0,2047,Agricultural_Production
3075.0,3097.0,2838.0,2048,Agricultural_Production
3093.0,3119.0,2837.0,2049,Agricultural_Production
3112.0,3141.0,2838.0,2050,Agricultural_Production
3131.0,3162.0,2840.0,2051,Agricultural_Production
3151.0,3185.0,2843.0,2052,Agricultural_Production
3170.0,3205.0,2847.0,2053,Agricultural_Production
3189.0,3226.0,2852.0,2054,Agricultural_Production
3208.0,3246.0,2857.0,2055,Agricultural_Production
3227.0,3267.0,2865.0,2056,Agricultural_Production
3246.0,3287.0,2872.0,2057,Agricultural_Production
3263.0,3307.0,2879.0,2058,Agricultural_Production
3280.0,3327.0,2888.0,2059,Agricultural_Production
3297.0,3348.0,2898.0,2060,Agricultural_Production
8.455,8.455,8.455,2020,Average_Education_Years
8.537,8.537,8.537,2021,Average_Education_Years
8.622,8.622,8.622,2022,Average_Education_Years
8.704,8.704,8.704,2023,Average_Education_Years
8.785,8.785,8.785,2024,Average_Education_Years
8.863,8.863,8.863,2025,Average_Education_Years
8.939,8.939,8.942,2026,Average_Education_Years
9.014,9.014,9.021,2027,Average_Education_Years
9.088,9.088,9.1,2028,Average_Education_Years
9.161,9.161,9.18,2029,Average_Education_Years
9.233,9.233,9.259,2030,Average_Education_Years
9.304,9.304,9.339,2031,Average_Education_Years
9.373,9.373,9.419,2032,Average_Education_Years
9.442,9.442,9.498,2033,Average_Education_Years
9.509,9.51,9.578,2034,Average_Education_Years
9.576,9.577,9.658,2035,Average_Education_Years
9.642,9.643,9.739,2036,Average_Education_Years
9.707,9.708,9.819,2037,Average_Education_Years
9.771,9.772,9.899,2038,Average_Education_Years
9.834,9.836,9.979,2039,Average_Education_Years
9.896,9.899,10.06,2040,Average_Education_Years
9.958,9.96,10.14,2041,Average_Education_Years
10.02,10.02,10.22,2042,Average_Education_Years
10.08,10.08,10.29,2043,Average_Education_Years
10.14,10.14,10.37,2044,Average_Education_Years
10.19,10.2,10.45,2045,Average_Education_Years
10.25,10.25,10.52,2046,Average_Education_Years
10.3,10.31,10.6,2047,Average_Education_Years
10.36,10.37,10.67,2048,Average_Education_Years
10.41,10.42,10.74,2049,Average_Education_Years
10.47,10.47,10.82,2050,Average_Education_Years
10.52,10.53,10.89,2051,Average_Education_Years
10.57,10.58,10.96,2052,Average_Education_Years
10.62,10.63,11.03,2053,Average_Education_Years
10.68,10.69,11.11,2054,Average_Education_Years
10.73,10.74,11.18,2055,Average_Education_Years
10.78,10.79,11.25,2056,Average_Education_Years
10.83,10.84,11.32,2057,Average_Education_Years
10.88,10.89,11.39,2058,Average_Education_Years
10.93,10.94,11.46,2059,Average_Education_Years
10.97,10.99,11.53,2060,Average_Education_Years
0.435,0.435,0.435,2020,Carbon_Emissions_from_Fossil
0.455,0.455,0.455,2021,Carbon_Emissions_from_Fossil
0.472,0.472,0.472,2022,Carbon_Emissions_from_Fossil
0.492,0.492,0.492,2023,Carbon_Emissions_from_Fossil
0.505,0.505,0.505,2024,Carbon_Emissions_from_Fossil
0.516,0.516,0.516,2025,Carbon_Emissions_from_Fossil
0.528,0.527,0.527,2026,Carbon_Emissions_from_Fossil
0.539,0.534,0.533,2027,Carbon_Emissions_from_Fossil
0.547,0.532,0.532,2028,Carbon_Emissions_from_Fossil
0.553,0.523,0.523,2029,Carbon_Emissions_from_Fossil
0.557,0.509,0.51,2030,Carbon_Emissions_from_Fossil
0.562,0.492,0.494,2031,Carbon_Emissions_from_Fossil
0.565,0.474,0.478,2032,Carbon_Emissions_from_Fossil
0.569,0.456,0.461,2033,Carbon_Emissions_from_Fossil
0.573,0.438,0.444,2034,Carbon_Emissions_from_Fossil
0.577,0.419,0.426,2035,Carbon_Emissions_from_Fossil
0.583,0.399,0.407,2036,Carbon_Emissions_from_Fossil
0.589,0.379,0.388,2037,Carbon_Emissions_from_Fossil
0.593,0.35,0.357,2038,Carbon_Emissions_from_Fossil
0.594,0.319,0.328,2039,Carbon_Emissions_from_Fossil
0.593,0.287,0.294,2040,Carbon_Emissions_from_Fossil
0.591,0.251,0.258,2041,Carbon_Emissions_from_Fossil
0.588,0.217,0.224,2042,Carbon_Emissions_from_Fossil
0.583,0.185,0.192,2043,Carbon_Emissions_from_Fossil
0.577,0.158,0.163,2044,Carbon_Emissions_from_Fossil
0.571,0.134,0.139,2045,Carbon_Emissions_from_Fossil
0.564,0.113,0.117,2046,Carbon_Emissions_from_Fossil
0.556,0.093,0.097,2047,Carbon_Emissions_from_Fossil
0.547,0.08,0.083,2048,Carbon_Emissions_from_Fossil
0.536,0.067,0.07,2049,Carbon_Emissions_from_Fossil
0.528,0.056,0.059,2050,Carbon_Emissions_from_Fossil
0.518,0.045,0.048,2051,Carbon_Emissions_from_Fossil
0.507,0.036,0.038,2052,Carbon_Emissions_from_Fossil
0.493,0.027,0.029,2053,Carbon_Emissions_from_Fossil
0.479,0.02,0.022,2054,Carbon_Emissions_from_Fossil
0.464,0.012,0.014,2055,Carbon_Emissions_from_Fossil
0.449,0.006,0.008,2056,Carbon_Emissions_from_Fossil
0.434,0.0,0.0,2057,Carbon_Emissions_from_Fossil
0.419,0.0,0.0,2058,Carbon_Emissions_from_Fossil
0.406,0.0,0.0,2059,Carbon_Emissions_from_Fossil
0.392,0.0,0.0,2060,Carbon_Emissions_from_Fossil
98.15,98.15,98.15,2020,Electricity_Access
98.42,98.42,98.42,2021,Electricity_Access
98.61,98.61,98.61,2022,Electricity_Access
98.65,98.65,98.65,2023,Electricity_Access
98.68,98.68,98.68,2024,Electricity_Access
98.72,98.82,98.85,2025,Electricity_Access
98.76,98.92,98.99,2026,Electricity_Access
98.81,99.02,99.11,2027,Electricity_Access
98.86,99.12,99.2,2028,Electricity_Access
98.91,99.19,99.27,2029,Electricity_Access
98.96,99.24,99.34,2030,Electricity_Access
99.0,99.3,99.41,2031,Electricity_Access
99.03,99.35,99.43,2032,Electricity_Access
99.06,99.4,99.45,2033,Electricity_Access
99.09,99.43,99.47,2034,Electricity_Access
99.12,99.44,99.48,2035,Electricity_Access
99.14,99.45,99.5,2036,Electricity_Access
99.16,99.46,99.52,2037,Electricity_Access
99.19,99.47,99.54,2038,Electricity_Access
99.21,99.49,99.55,2039,Electricity_Access
99.23,99.49,99.57,2040,Electricity_Access
99.25,99.51,99.58,2041,Electricity_Access
99.27,99.52,99.6,2042,Electricity_Access
99.3,99.53,99.62,2043,Electricity_Access
99.32,99.54,99.64,2044,Electricity_Access
99.34,99.55,99.65,2045,Electricity_Access
99.37,99.56,99.67,2046,Electricity_Access
99.39,99.58,99.7,2047,Electricity_Access
99.42,99.59,99.72,2048,Electricity_Access
99.44,99.6,99.74,2049,Electricity_Access
99.47,99.62,99.76,2050,Electricity_Access
99.49,99.63,99.78,2051,Electricity_Access
99.52,99.64,99.8,2052,Electricity_Access
99.54,99.66,99.82,2053,Electricity_Access
99.56,99.67,99.84,2054,Electricity_Access
99.57,99.69,99.86,2055,Electricity_Access
99.59,99.7,99.88,2056,Electricity_Access
99.6,99.72,99.9,2057,Electricity_Access
99.61,99.73,99.92,2058,Electricity_Access
99.62,99.75,99.93,2059,Electricity_Access
99.64,99.76,99.95,2060,Electricity_Access
2207.0,2207.0,2207.0,2020,Electricity_Use
2341.0,2341.0,2341.0,2021,Electricity_Use
2453.0,2453.0,2453.0,2022,Electricity_Use
2562.0,2562.0,2562.0,2023,Electricity_Use
2646.0,2646.0,2646.0,2024,Electricity_Use
2716.0,2716.0,2716.0,2025,Electricity_Use
2788.0,2759.0,2759.0,2026,Electricity_Use
2860.0,2800.0,2798.0,2027,Electricity_Use
2933.0,2841.0,2846.0,2028,Electricity_Use
3005.0,2881.0,2893.0,2029,Electricity_Use
3077.0,2921.0,2941.0,2030,Electricity_Use
3149.0,2960.0,2990.0,2031,Electricity_Use
3222.0,3001.0,3041.0,2032,Electricity_Use
3296.0,3041.0,3094.0,2033,Electricity_Use
3371.0,3082.0,3147.0,2034,Electricity_Use
3446.0,3122.0,3201.0,2035,Electricity_Use
3522.0,3161.0,3255.0,2036,Electricity_Use
3599.0,3198.0,3308.0,2037,Electricity_Use
3677.0,3174.0,3298.0,2038,Electricity_Use
3756.0,3145.0,3285.0,2039,Electricity_Use
3837.0,3111.0,3265.0,2040,Electricity_Use
3920.0,3082.0,3249.0,2041,Electricity_Use
4006.0,3050.0,3229.0,2042,Electricity_Use
4094.0,3015.0,3206.0,2043,Electricity_Use
4184.0,2976.0,3178.0,2044,Electricity_Use
4276.0,2932.0,3146.0,2045,Electricity_Use
4369.0,2884.0,3108.0,2046,Electricity_Use
4463.0,2830.0,3065.0,2047,Electricity_Use
4557.0,2883.0,3137.0,2048,Electricity_Use
4653.0,2934.0,3208.0,2049,Electricity_Use
4750.0,2987.0,3281.0,2050,Electricity_Use
4851.0,3037.0,3352.0,2051,Electricity_Use
4953.0,3088.0,3424.0,2052,Electricity_Use
5055.0,3135.0,3492.0,2053,Electricity_Use
5160.0,3185.0,3563.0,2054,Electricity_Use
5268.0,3231.0,3632.0,2055,Electricity_Use
5379.0,3281.0,3706.0,2056,Electricity_Use
